NCT Number,Study Status,Study Results,Conditions,Sponsor,Sex,Age,Phases,Enrollment,Trial Duration (days),Number of Sites,Intervention Type,has_collaborator,Allocation,Primary Purpose,blinding_level,query_rate,risk_category,therapeutic_area,sponsor_type,protocol_amendment_count,crf_page_count,site_experience_score,country_risk_score,investigator_tenure_years,screen_failure_rate,enrollment_velocity,avg_time_visit_to_entry_days,edit_check_density_per_domain,historical_query_resolution_time_days,sdtm_domain_count,complex_derivations_flag,external_data_feeds_count
NCT01460030,COMPLETED,NO,Parathyroid Carcinoma|Hypercalcemia|Primary Hyperparathyroidism,"Kyowa Kirin Co., Ltd.",ALL,"ADULT, OLDER_ADULT",PHASE3,248.0,458,1,DRUG,0,UNKNOWN,TREATMENT,0,66.04,HIGH,METABOLIC,INDUSTRY,2,227,5.15,2,0.5,0.1819,16.244541484716155,2.5,42,9.6,20,1,1
NCT00404365,COMPLETED,NO,Depression|Lung Cancer,Memorial Sloan Kettering Cancer Center,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,241.0,2192,2,OTHER,1,RANDOMIZED,UNKNOWN,2,57.04,HIGH,PSYCHIATRY,ACADEMIC_GOVT,6,105,4.94,1,1.82,0.1856,3.298357664233577,3.3,26,8.5,7,1,0
NCT00613665,COMPLETED,NO,Helicobacter Pylori|Gastritis|Gastric Cancer|Gastroduodenal Ulcers|Lymphoma,Novartis Vaccines,ALL,ADULT,PHASE1,113.0,424,1,BIOLOGICAL,0,RANDOMIZED,PREVENTION,1,46.48,HIGH,ONCOLOGY,INDUSTRY,0,57,7.04,2,0.54,0.1003,7.995283018867925,4.1,18,5.7,8,0,3
NCT01664000,COMPLETED,NO,Solid Tumors,Cellceutix Corporation,ALL,"ADULT, OLDER_ADULT",PHASE1,48.0,1218,1,DRUG,1,UNKNOWN,TREATMENT,0,31.42,MEDIUM,ONCOLOGY,INDUSTRY,0,68,6.41,2,3.6,0.2645,1.1822660098522166,4.4,14,4.0,4,1,0
NCT01290536,COMPLETED,YES,Colorectal Neoplasms|Neuroendocrine Tumors|Cholangiocarcinoma|Melanoma|Breast Cancer,"Nicholas Fidelman, MD",ALL,"ADULT, OLDER_ADULT",PHASE2,42.0,1249,0,DEVICE,0,UNKNOWN,TREATMENT,0,27.56,MEDIUM,ONCOLOGY,INDUSTRY,2,82,5.05,1,1.71,0.1902,1.0088070456365092,1.0,29,3.3,12,1,2
NCT01903811,COMPLETED,YES,Recurrent Plasma Cell Myeloma|Refractory Plasma Cell Myeloma,SWOG Cancer Research Network,ALL,"ADULT, OLDER_ADULT",PHASE2,143.0,1983,485,DRUG,1,RANDOMIZED,TREATMENT,0,75.96,HIGH,ONCOLOGY,INDUSTRY,3,156,7.81,1,7.56,0.2917,2.16338880484115,1.9,48,3.7,8,1,4
NCT04952571,TERMINATED,NO,Recurrent Glioblastoma,Beijing Sanbo Brain Hospital,ALL,"ADULT, OLDER_ADULT",PHASE2,3.0,552,1,DRUG,0,NON_RANDOMIZED,TREATMENT,0,23.51,MEDIUM,OTHER,ACADEMIC_GOVT,4,123,4.99,2,8.22,0.5212,0.16304347826086957,4.4,26,1.4,14,0,2
NCT03455764,COMPLETED,YES,Melanoma,Dana-Farber Cancer Institute,ALL,"ADULT, OLDER_ADULT",PHASE2,6.0,1821,1,DRUG,1,NON_RANDOMIZED,TREATMENT,0,32.64,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,3,131,4.05,2,4.91,0.2911,0.1,5.2,41,14.7,10,1,1
NCT00116909,COMPLETED,NO,Locally Recurrent or Metastatic Cancer of the Head and Neck|Must Have Failed First-Line Therapy,OSI Pharmaceuticals,ALL,"ADULT, OLDER_ADULT",PHASE2,85.0,365,4,DRUG,0,UNKNOWN,TREATMENT,0,18.55,LOW,ONCOLOGY,INDUSTRY,5,110,5.32,5,0.5,0.2288,6.986301369863014,0.6,23,7.8,8,1,0
NCT01595009,COMPLETED,YES,Neuroendocrine Tumors,Novartis Pharmaceuticals,ALL,"ADULT, OLDER_ADULT",PHASE4,246.0,1931,11,DRUG,0,UNKNOWN,TREATMENT,0,28.11,MEDIUM,ONCOLOGY,INDUSTRY,5,74,4.02,1,15.69,0.0726,3.8218539616778875,2.0,19,5.3,20,1,4
NCT04974632,COMPLETED,NO,Lung Tumor|Thoracoscopic Surgery,Chang Gung Memorial Hospital,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,41.0,364,1,PROCEDURE,0,UNKNOWN,TREATMENT,0,14.15,LOW,ONCOLOGY,ACADEMIC_GOVT,2,87,4.62,3,0.5,0.1078,3.379120879120879,4.0,18,9.1,6,0,0
NCT01790932,COMPLETED,YES,Breast Cancer,Dana-Farber Cancer Institute,ALL,"ADULT, OLDER_ADULT",PHASE2,50.0,1187,4,DRUG,0,UNKNOWN,TREATMENT,0,58.86,HIGH,ONCOLOGY,ACADEMIC_GOVT,11,119,5.89,1,3.69,0.4088,1.2636899747262005,2.0,28,7.3,13,1,2
NCT04081298,TERMINATED,YES,Hematopoietic and Lymphoid Cell Neoplasm|Malignant Solid Neoplasm,Fred Hutchinson Cancer Center,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,20.0,162,1,BEHAVIORAL,1,UNKNOWN,HEALTH_SERVICES_RESEARCH,0,5.63,LOW,ONCOLOGY,ACADEMIC_GOVT,1,36,4.91,1,0.5,0.3019,3.7037037037037033,3.7,10,11.5,7,0,0
NCT01156987,COMPLETED,YES,Breast Cancer,University of Minnesota,FEMALE,"ADULT, OLDER_ADULT",NOT_REPORTED,31.0,2191,1,DEVICE,1,NON_RANDOMIZED,DIAGNOSTIC,0,33.08,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,7,112,4.88,1,1.82,0.2379,0.4244637151985395,9.3,25,5.9,15,0,2
NCT00314093,COMPLETED,YES,Metastatic Melanoma,University of Texas Southwestern Medical Center,ALL,"ADULT, OLDER_ADULT",PHASE2,41.0,945,1,DRUG,1,UNKNOWN,TREATMENT,1,18.89,LOW,ONCOLOGY,ACADEMIC_GOVT,4,99,6.5,3,3.3,0.2321,1.3015873015873016,6.2,34,16.6,13,0,3
NCT06068621,COMPLETED,NO,Acute Myeloid Leukemia,Chinese PLA General Hospital,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,200.0,914,1,DRUG,1,RANDOMIZED,TREATMENT,0,24.18,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,4,87,5.62,4,1.03,0.3377,6.564551422319475,2.0,27,14.2,17,1,1
NCT01564277,TERMINATED,YES,Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities|Adult Acute Myeloid Leukemia With Del(5q)|Adult Acute Myeloid Leukemia With Inv(16)(p13;q22)|Adult Acute Myeloid Leukemia With t(15;17)(q22;q12)|Adult Acute Myeloid Leukemia With t(16;16)(p13;q22)|Adult Acute Myeloid Leukemia With t(8;21)(q22;q22)|Blastic Phase Chronic Myelogenous Leukemia|Contiguous Stage II Adult Burkitt Lymphoma|de Novo Myelodysplastic Syndromes|Noncontiguous Stage II Adult Burkitt Lymphoma|Previously Treated Myelodysplastic Syndromes|Recurrent Adult Acute Lymphoblastic Leukemia|Recurrent Adult Acute Myeloid Leukemia|Recurrent Adult Burkitt Lymphoma|Stage I Adult Burkitt Lymphoma|Stage III Adult Burkitt Lymphoma|Stage IV Adult Burkitt Lymphoma|Untreated Adult Acute Lymphoblastic Leukemia|Untreated Adult Acute Myeloid Leukemia,Roswell Park Cancer Institute,ALL,"ADULT, OLDER_ADULT",PHASE2,24.0,1703,1,DRUG,1,RANDOMIZED,TREATMENT,0,125.62,HIGH,ONCOLOGY,ACADEMIC_GOVT,3,90,4.85,1,0.58,0.3564,0.42278332354668235,3.4,25,9.2,6,1,4
NCT00352677,COMPLETED,NO,Chronic Myeloid Leukemia|Acute Lymphocytic Leukemia,CytRx,ALL,"ADULT, OLDER_ADULT",PHASE1,100.0,670,6,DRUG,0,NON_RANDOMIZED,TREATMENT,0,30.95,MEDIUM,ONCOLOGY,INDUSTRY,2,61,5.07,5,6.13,0.226,4.477611940298508,2.6,18,6.3,7,0,1
NCT03521375,COMPLETED,NO,Lung Neoplasms,University of Bristol,ALL,"CHILD, ADULT, OLDER_ADULT",NOT_REPORTED,503.0,1705,9,PROCEDURE,1,RANDOMIZED,TREATMENT,2,94.34,HIGH,ONCOLOGY,ACADEMIC_GOVT,0,80,5.1,4,0.72,0.3692,8.850439882697946,1.7,25,8.3,13,0,1
NCT01165281,COMPLETED,YES,Pain,"Janssen Research & Development, LLC",ALL,"ADULT, OLDER_ADULT",PHASE3,343.0,731,52,DRUG,0,RANDOMIZED,TREATMENT,3,278.82,HIGH,OTHER,INDUSTRY,11,234,4.99,3,0.85,0.3661,14.076607387140903,4.9,86,6.7,20,1,1
NCT00003019,COMPLETED,NO,Desmoid Tumor,Children's Oncology Group,ALL,"CHILD, ADULT",PHASE2,28.0,3318,39,DRUG,1,UNKNOWN,TREATMENT,0,56.14,HIGH,ONCOLOGY,INDUSTRY,9,109,7.66,3,4.67,0.0941,0.25316455696202533,0.8,35,11.0,17,1,1
NCT04044430,TERMINATED,NO,Metastatic Colon Adenocarcinoma|Metastatic Colorectal Adenocarcinoma|Metastatic Microsatellite Stable Colorectal Carcinoma|Metastatic Rectal Adenocarcinoma|Stage III Colon Cancer|Stage III Colorectal Cancer|Stage III Rectal Cancer|Stage IIIA Colon Cancer|Stage IIIA Colorectal Cancer|Stage IIIA Rectal Cancer|Stage IIIB Colon Cancer|Stage IIIB Colorectal Cancer|Stage IIIB Rectal Cancer|Stage IIIC Colon Cancer|Stage IIIC Colorectal Cancer|Stage IIIC Rectal Cancer|Stage IV Colon Cancer|Stage IV Colorectal Cancer|Stage IV Rectal Cancer|Stage IVA Colon Cancer|Stage IVA Colorectal Cancer|Stage IVA Rectal Cancer|Stage IVB Colon Cancer|Stage IVB Colorectal Cancer|Stage IVB Rectal Cancer|Stage IVC Colon Cancer|Stage IVC Colorectal Cancer|Stage IVC Rectal Cancer,"University of California, San Francisco",ALL,"ADULT, OLDER_ADULT",PHASE1,2.0,699,2,DRUG,1,UNKNOWN,TREATMENT,0,17.76,LOW,ONCOLOGY,ACADEMIC_GOVT,4,65,7.86,1,0.5,0.3326,0.1,8.9,20,2.7,6,0,1
NCT04785365,TERMINATED,NO,Melanoma|Advanced Non Small Cell Lung Cancer,Achilles Therapeutics UK Limited,ALL,"ADULT, OLDER_ADULT",PHASE2,1.0,504,1,OTHER,0,UNKNOWN,OTHER,0,13.59,LOW,ONCOLOGY,INDUSTRY,2,85,6.52,1,0.97,0.6765,0.1,3.2,16,11.1,9,0,0
NCT01419665,COMPLETED,YES,Follicular Lymphoma,Sandoz,ALL,"ADULT, OLDER_ADULT",PHASE3,629.0,2244,153,BIOLOGICAL,1,RANDOMIZED,TREATMENT,4,106.18,HIGH,ONCOLOGY,INDUSTRY,12,315,5.96,4,9.57,0.4349,8.40909090909091,2.1,117,5.6,20,1,1
NCT04215367,COMPLETED,NO,Chronic Lymphocytic Leukemia (CLL),University of Peloponnese,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,21.0,355,1,DIETARY_SUPPLEMENT,1,RANDOMIZED,TREATMENT,0,12.98,LOW,ONCOLOGY,ACADEMIC_GOVT,1,84,7.55,1,2.2,0.3928,1.7746478873239435,7.0,18,25.8,14,1,2
NCT00003007,COMPLETED,NO,Multiple Myeloma and Plasma Cell Neoplasm,University of Tennessee,ALL,ADULT,PHASE2,40.0,2740,4,BIOLOGICAL,0,UNKNOWN,TREATMENT,0,40.64,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,1,125,5.53,1,0.5,0.374,0.43795620437956206,2.8,36,5.6,5,0,1
NCT03076892,COMPLETED,NO,"Keratosis, Actinic","University Hospital, Lille",ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,47.0,426,2,DEVICE,1,RANDOMIZED,TREATMENT,0,11.47,LOW,OTHER,ACADEMIC_GOVT,5,88,5.55,1,12.86,0.4067,3.3098591549295775,3.6,33,7.8,4,1,1
NCT03215511,COMPLETED,NO,Solid Tumors Harboring NTRK Fusion,Bayer,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1,81.0,2037,29,DRUG,0,NON_RANDOMIZED,TREATMENT,0,28.86,MEDIUM,ONCOLOGY,INDUSTRY,4,67,6.22,4,1.0,0.2737,1.1929307805596465,2.7,22,7.3,9,0,1
NCT06694571,COMPLETED,YES,Melanoma|Adolescents,University of Utah,ALL,"CHILD, ADULT",NOT_REPORTED,38.0,145,1,BEHAVIORAL,1,UNKNOWN,PREVENTION,0,6.0,LOW,ONCOLOGY,ACADEMIC_GOVT,2,65,6.61,1,1.94,0.4313,7.862068965517242,3.4,15,25.6,3,1,0
NCT04388371,COMPLETED,NO,Lymphangioleiomyomatosis (LAM),Vanderbilt University Medical Center,FEMALE,"ADULT, OLDER_ADULT",PHASE1,5.0,662,1,DRUG,1,NON_RANDOMIZED,DIAGNOSTIC,0,12.9,LOW,OTHER,ACADEMIC_GOVT,2,74,6.76,1,2.27,0.172,0.22658610271903323,2.6,14,6.9,7,1,3
NCT00591734,COMPLETED,YES,Metastatic Melanoma,"SCRI Development Innovations, LLC",ALL,"ADULT, OLDER_ADULT",PHASE2,57.0,1369,15,DRUG,1,UNKNOWN,TREATMENT,0,48.13,HIGH,ONCOLOGY,INDUSTRY,3,141,4.12,3,3.52,0.2899,1.2490869247626004,2.2,39,6.5,9,1,2
NCT02380209,TERMINATED,NO,Breast Cancer,University of Arizona,FEMALE,"ADULT, OLDER_ADULT",EARLY_PHASE1,8.0,731,1,OTHER,0,UNKNOWN,DIAGNOSTIC,0,11.8,LOW,ONCOLOGY,ACADEMIC_GOVT,0,27,5.45,2,2.38,0.156,0.3283173734610123,12.3,7,13.1,3,0,0
NCT02200809,COMPLETED,NO,Prostate Cancer|MRI|Focal Laser Ablation,Radboud University Medical Center,MALE,"ADULT, OLDER_ADULT",NOT_REPORTED,20.0,1979,3,DEVICE,1,UNKNOWN,TREATMENT,0,29.68,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,3,94,5.93,3,5.37,0.3376,0.30318342597271347,17.6,31,5.7,3,0,0
NCT06919809,COMPLETED,NO,Wound Healing After MMS Surgery|BCC - Basal Cell Carcinoma|SCC - Squamous Cell Carcinoma|Melanoma In Situ,McGuire Institute,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,16.0,210,1,DEVICE,1,UNKNOWN,TREATMENT,0,10.23,LOW,ONCOLOGY,ACADEMIC_GOVT,0,85,6.91,1,0.5,0.5914,2.2857142857142856,1.3,36,17.2,10,0,1
NCT00001499,COMPLETED,NO,"Carcinoma, Non-Small-Cell Lung|Lung Neoplasms",National Cancer Institute (NCI),ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,50.0,1553,1,DRUG,0,UNKNOWN,TREATMENT,0,26.55,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,5,117,7.32,1,10.8,0.4708,0.9658725048293625,9.9,31,7.7,7,1,0
NCT02532634,COMPLETED,NO,Cancer|Tumors,Kangdong Sacred Heart Hospital,ALL,"ADULT, OLDER_ADULT",PHASE4,292.0,993,10,DRUG,1,RANDOMIZED,SUPPORTIVE_CARE,1,42.06,HIGH,ONCOLOGY,ACADEMIC_GOVT,2,82,7.51,5,6.58,0.0988,8.821752265861027,2.7,27,1.6,5,0,0
NCT01773434,COMPLETED,NO,Solid Tumor,"Eisai Co., Ltd.",ALL,"ADULT, OLDER_ADULT",PHASE1,46.0,1400,4,DRUG,0,UNKNOWN,TREATMENT,0,11.13,LOW,ONCOLOGY,INDUSTRY,2,55,7.05,1,3.31,0.4545,0.9857142857142858,4.2,16,12.6,8,0,1
NCT03176264,TERMINATED,NO,Metastatic Colorectal Cancer,Novartis Pharmaceuticals,ALL,"ADULT, OLDER_ADULT",PHASE1,1.0,127,1,DRUG,0,UNKNOWN,TREATMENT,0,36.69,MEDIUM,ONCOLOGY,INDUSTRY,1,67,7.17,1,0.86,0.3166,0.23622047244094488,4.1,17,7.2,9,1,2
NCT02872909,COMPLETED,YES,Non-melanoma Skin Cancer,Sally Ibbotson,ALL,"CHILD, ADULT, OLDER_ADULT",NOT_REPORTED,50.0,1955,0,DEVICE,0,RANDOMIZED,TREATMENT,1,50.2,HIGH,ONCOLOGY,INDUSTRY,3,82,6.55,1,1.78,0.4173,0.7672634271099744,7.4,24,7.6,16,1,1
NCT01247701,COMPLETED,YES,Myeloid Hematological Malignancies,Baylor College of Medicine,ALL,CHILD,NOT_REPORTED,16.0,3256,1,DRUG,1,UNKNOWN,TREATMENT,0,47.0,HIGH,OTHER,ACADEMIC_GOVT,2,120,7.01,2,4.76,0.2352,0.14742014742014742,3.4,29,8.7,14,0,2
NCT00237575,TERMINATED,NO,Bladder Cancer,University of Kentucky,ALL,"ADULT, OLDER_ADULT",PHASE3,100.0,120,4,DRUG,1,RANDOMIZED,TREATMENT,0,67.25,HIGH,ONCOLOGY,ACADEMIC_GOVT,6,226,5.01,1,8.23,0.3039,25.0,2.5,57,14.6,17,1,2
NCT04139057,COMPLETED,NO,Head and Neck Squamous Cell Carcinoma,Xinqiao Hospital of Chongqing,ALL,"ADULT, OLDER_ADULT",PHASE2,10.0,2512,1,DRUG,1,UNKNOWN,TREATMENT,0,26.34,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,2,108,7.31,2,2.85,0.5366,0.11942675159235669,3.0,29,4.2,18,0,1
NCT00831181,COMPLETED,YES,Colorectal Cancer,Beth Israel Medical Center,ALL,"ADULT, OLDER_ADULT",PHASE2,27.0,1949,2,DRUG,0,UNKNOWN,TREATMENT,0,48.56,HIGH,ONCOLOGY,ACADEMIC_GOVT,7,119,6.76,1,1.16,0.2792,0.4155977424320164,4.0,35,6.0,12,1,1
NCT00609219,COMPLETED,NO,Head and Neck Cancer,Baylor College of Medicine,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1,25.0,3957,2,BIOLOGICAL,1,UNKNOWN,TREATMENT,0,27.42,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,3,70,4.21,3,7.28,0.3397,0.18953752843062927,2.5,14,5.7,4,0,2
NCT02223819,COMPLETED,YES,Uveal Melanoma,Columbia University,ALL,"ADULT, OLDER_ADULT",PHASE2,34.0,1585,4,DRUG,1,UNKNOWN,TREATMENT,0,21.92,LOW,ONCOLOGY,ACADEMIC_GOVT,9,103,5.34,2,0.96,0.5469,0.6435331230283912,7.3,31,10.5,12,1,2
NCT03200600,TERMINATED,NO,"Carcinoma, Non-Small-Cell Lung|Surgery--Complications|Dexamethasone|Flubiprofen Axetil|Delirium",Peking University First Hospital,ALL,"ADULT, OLDER_ADULT",PHASE4,126.0,511,2,DRUG,1,RANDOMIZED,PREVENTION,4,33.77,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,0,74,5.68,1,13.96,0.1028,7.397260273972602,9.3,18,8.4,12,0,2
NCT02575807,TERMINATED,YES,Platinum-resistant Ovarian Cancer|Platinum-resistant Fallopian Cancer|Platinum-resistant Peritoneal Cancer,"Aduro Biotech, Inc.",FEMALE,"ADULT, OLDER_ADULT",PHASE2,35.0,791,12,BIOLOGICAL,1,RANDOMIZED,TREATMENT,0,49.99,HIGH,ONCOLOGY,INDUSTRY,4,92,6.42,2,2.02,0.2781,1.3274336283185841,1.3,46,3.7,20,1,4
NCT06147492,COMPLETED,NO,Rectal Cancer,Yanhong Deng,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,526.0,2830,0,PROCEDURE,0,RANDOMIZED,TREATMENT,2,52.04,HIGH,ONCOLOGY,INDUSTRY,1,99,6.74,1,3.07,0.373,5.575971731448764,5.7,23,3.7,11,0,0
NCT02834611,COMPLETED,NO,Cancer|Carcinoma|Solid Tumors|Tumor,"Keystone Nano, Inc",ALL,"ADULT, OLDER_ADULT",PHASE1,14.0,2422,3,DRUG,1,UNKNOWN,TREATMENT,0,17.49,LOW,ONCOLOGY,INDUSTRY,4,49,7.31,1,14.93,0.0842,0.17341040462427745,1.2,20,2.3,3,1,5
NCT03648034,COMPLETED,NO,Meningioma,RenJi Hospital,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,144.0,438,1,PROCEDURE,0,RANDOMIZED,SUPPORTIVE_CARE,3,14.92,LOW,OTHER,ACADEMIC_GOVT,0,93,4.47,2,3.91,0.555,9.863013698630137,6.9,17,1.8,6,1,0
NCT04139434,COMPLETED,NO,AML/MDS|CMML|Relapse|Refractory Acute Lymphoblastic Leukemia|Relapse Leukemia|Relapsed Adult AML,Newave Pharmaceutical Inc,ALL,"ADULT, OLDER_ADULT",PHASE1,32.0,1992,7,DRUG,0,NON_RANDOMIZED,TREATMENT,0,29.01,MEDIUM,ONCOLOGY,INDUSTRY,3,57,4.02,1,1.08,0.5106,0.48192771084337344,1.0,17,6.1,6,0,2
NCT03001609,COMPLETED,NO,"Carcinoma, Non-Small-Cell Lung","Hangzhou ACEA Pharmaceutical Research Co., Ltd.",MALE,"ADULT, OLDER_ADULT",PHASE1,7.0,304,1,DRUG,0,UNKNOWN,TREATMENT,0,29.92,MEDIUM,ONCOLOGY,INDUSTRY,1,51,4.74,3,0.5,0.3086,0.6907894736842105,2.1,16,1.4,8,0,3
NCT03630809,TERMINATED,NO,"Breast Cancer|HER2-positive Breast Cancer|HER-2 Gene Amplification|HER2 Positive Breast Carcinoma|HER-2 Protein Overexpression|Breast Cancer, Male|Breast Cancer Female",H. Lee Moffitt Cancer Center and Research Institute,ALL,"ADULT, OLDER_ADULT",PHASE2,16.0,1187,1,BIOLOGICAL,0,RANDOMIZED,TREATMENT,0,111.87,HIGH,ONCOLOGY,ACADEMIC_GOVT,2,139,6.24,1,5.69,0.46,0.40438079191238413,4.2,47,15.6,13,1,3
NCT01648699,TERMINATED,YES,Pain,Janssen Pharmaceutica,ALL,"ADULT, OLDER_ADULT",PHASE4,20.0,153,0,DRUG,0,UNKNOWN,TREATMENT,0,12.94,LOW,OTHER,INDUSTRY,1,75,3.93,1,4.32,0.1283,3.9215686274509807,1.3,18,4.9,3,1,2
NCT00390299,COMPLETED,YES,Anaplastic Astrocytoma|Anaplastic Oligodendroglioma|Mixed Glioma|Recurrent Glioblastoma,Mayo Clinic,ALL,"ADULT, OLDER_ADULT",PHASE1,23.0,4786,1,BIOLOGICAL,1,NON_RANDOMIZED,TREATMENT,0,15.04,LOW,ONCOLOGY,INDUSTRY,1,73,4.34,1,0.94,0.2169,0.14417049728374426,4.0,18,8.0,6,1,5
NCT00089999,COMPLETED,YES,"Neoplasms, Breast",GlaxoSmithKline,FEMALE,"ADULT, OLDER_ADULT",PHASE2,138.0,1369,31,DRUG,0,RANDOMIZED,TREATMENT,0,45.93,HIGH,ONCOLOGY,INDUSTRY,4,160,5.34,5,6.34,0.336,3.0241051862673483,1.0,41,13.3,12,1,3
NCT02916199,COMPLETED,NO,Common Bile Duct Stone|Malignant Hepatobiliary Neoplasm|Biliary Stricture|Pancreatic Diseases|Sphincter of Oddi Dysfunction,Gangnam Severance Hospital,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,207.0,420,7,DEVICE,0,RANDOMIZED,TREATMENT,1,51.26,HIGH,ONCOLOGY,ACADEMIC_GOVT,2,88,7.58,5,0.5,0.1562,14.785714285714286,3.2,26,14.1,10,0,1
NCT03820557,COMPLETED,NO,Lung Cancer,Sidney Kimmel Comprehensive Cancer Center at Thomas Jefferson University,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,44.0,968,1,OTHER,0,UNKNOWN,HEALTH_SERVICES_RESEARCH,0,17.91,LOW,ONCOLOGY,ACADEMIC_GOVT,3,119,3.96,2,1.77,0.0666,1.3636363636363638,7.5,25,5.6,8,1,0
NCT02749877,COMPLETED,NO,Pediatric Cancer,"Insel Gruppe AG, University Hospital Bern",ALL,CHILD,NOT_REPORTED,81.0,699,1,BEHAVIORAL,0,RANDOMIZED,TREATMENT,1,13.49,LOW,ONCOLOGY,ACADEMIC_GOVT,2,47,3.97,2,2.99,0.3198,3.476394849785408,4.9,9,14.4,4,1,1
NCT02909777,COMPLETED,NO,Lymphoma|Neuroblastoma|Brain Tumor|Solid Tumor,Dana-Farber Cancer Institute,ALL,"CHILD, ADULT",PHASE1,26.0,3348,4,DRUG,1,UNKNOWN,TREATMENT,0,12.62,LOW,NEUROLOGY,ACADEMIC_GOVT,3,71,6.68,1,0.5,0.1626,0.23297491039426524,7.8,12,18.2,5,0,0
NCT00005975,COMPLETED,NO,Breast Cancer|Hot Flashes,SWOG Cancer Research Network,FEMALE,"CHILD, ADULT, OLDER_ADULT",PHASE3,288.0,1430,0,DRUG,1,RANDOMIZED,SUPPORTIVE_CARE,2,73.35,HIGH,ONCOLOGY,INDUSTRY,5,278,6.26,1,0.85,0.158,6.0419580419580425,2.2,74,10.2,18,1,0
NCT00280475,COMPLETED,NO,Brain Neoplasms|Neoplasm Metastasis,Haruhiko Fukuda,ALL,"ADULT, OLDER_ADULT",PHASE3,270.0,2557,21,DEVICE,1,RANDOMIZED,TREATMENT,0,78.6,HIGH,NEUROLOGY,INDUSTRY,12,148,5.25,3,1.34,0.2465,3.167774736018772,7.6,89,2.7,20,1,1
NCT02524275,TERMINATED,YES,Head and Neck Squamous Cell Carcinoma,University of Nebraska,ALL,"ADULT, OLDER_ADULT",PHASE2,14.0,2404,3,DRUG,0,UNKNOWN,TREATMENT,0,37.06,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,8,119,4.71,1,8.44,0.3148,0.1747088186356073,5.2,35,12.7,7,1,3
NCT03640819,COMPLETED,NO,Sentinel Lymph Node|Breast Cancer|Tattoo; Pigmentation|Axilla; Breast,University Hospitals of Derby and Burton NHS Foundation Trust,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,100.0,460,1,PROCEDURE,0,UNKNOWN,TREATMENT,0,19.36,LOW,ONCOLOGY,ACADEMIC_GOVT,2,84,4.18,2,4.66,0.1845,6.521739130434782,4.0,18,13.8,12,1,1
NCT00656019,COMPLETED,YES,Breast Cancer,Stanford University,FEMALE,"ADULT, OLDER_ADULT",PHASE2,63.0,1339,1,DRUG,1,NON_RANDOMIZED,TREATMENT,0,41.42,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,2,103,4.31,2,8.76,0.5071,1.4115011202389844,6.3,22,5.7,8,1,2
NCT01209130,COMPLETED,NO,"Non-Hodgkin's Lymphoma, Chronic Lymphocytic Leukemia","Genentech, Inc.",ALL,"ADULT, OLDER_ADULT",PHASE1,91.0,1612,9,DRUG,0,UNKNOWN,TREATMENT,0,42.54,HIGH,ONCOLOGY,INDUSTRY,1,48,4.82,1,3.08,0.1032,1.6935483870967742,1.7,8,10.9,16,0,0
NCT01116128,TERMINATED,NO,Myeloma,Fondazione EMN Italy Onlus,ALL,"ADULT, OLDER_ADULT",PHASE2,8.0,1185,1,DRUG,0,NON_RANDOMIZED,TREATMENT,0,42.78,HIGH,ONCOLOGY,INDUSTRY,6,105,5.72,2,5.91,0.3385,0.20253164556962025,0.8,28,4.2,15,1,3
NCT01356030,COMPLETED,NO,Pancreaticobiliary Cancers|Jaundice|Bile Duct Obstruction,California Pacific Medical Center Research Institute,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,51.0,366,1,PROCEDURE,0,NON_RANDOMIZED,DIAGNOSTIC,1,7.36,LOW,ONCOLOGY,ACADEMIC_GOVT,1,92,4.99,1,5.86,0.3598,4.180327868852459,11.0,29,6.4,7,0,1
